City,ST,Population,Country,Latitude,Longitude
Tacoma,WA,222906,United States,47.25,-122.46666666666667
Hialeah,FL,221300,United States,25.866666666666667,-80.3
Baton Rouge,LA,219573,United States,30.433333333333334,-91.13333333333334
Modesto,CA,218915,United States,37.63333333333333,-121.0
Fontana,CA,215465,United States,34.11666666666667,-117.46666666666667
McKinney,TX,213509,United States,33.2,-96.66666666666667
Moreno Valley,CA,212392,United States,33.916666666666664,-117.21666666666667
Des Moines,IA,210381,United States,41.56666666666667,-93.61666666666666
Fayetteville,NC,209749,United States,35.083333333333336,-78.96666666666667
Salt Lake City,UT,209593,United States,40.78333333333333,-111.93333333333334
Yonkers,NY,207657,United States,40.95,-73.86666666666666
Worcester,MA,207621,United States,42.266666666666666,-71.81666666666666
Rochester,NY,207274,United States,43.166666666666664,-77.61666666666666
Sioux Falls,SD,206410,United States,43.53333333333333,-96.73333333333333
Little Rock,AR,203842,United States,34.71666666666667,-92.36666666666666
Amarillo,TX,202408,United States,35.2,-101.83333333333333
Tallahassee,FL,202221,United States,30.466666666666665,-84.25
Grand Prairie,TX,202134,United States,32.68333333333333,-97.01666666666667
Columbus,GA,201877,United States,32.516666666666666,-84.86666666666666
Augusta,GA,200884,United States,33.36666666666667,-82.06666666666666
Peoria,AZ,198750,United States,33.78333333333333,-112.31666666666666
Oxnard,CA,198488,United States,34.2,-119.21666666666667
Knoxville,TN,198162,United States,35.96666666666667,-83.95
Overland Park,KS,197089,United States,38.88333333333333,-94.68333333333334
Birmingham,AL,196644,United States,33.53333333333333,-86.8
Grand Rapids,MI,196608,United States,42.96666666666667,-85.66666666666667
Vancouver,WA,196442,United States,45.63333333333333,-122.6
Montgomery,AL,195287,United States,32.35,-86.26666666666667
Huntington Beach,CA,192129,United States,33.7,-118.0
Providence,RI,190792,United States,41.81666666666667,-71.41666666666667
Brownsville,TX,190158,United States,26.0,-97.45
Tempe,AZ,189834,United States,33.38333333333333,-111.93333333333334
Akron,OH,188701,United States,41.083333333333336,-81.51666666666667
Glendale,CA,187050,United States,34.18333333333333,-118.25
Chattanooga,TN,187030,United States,35.06666666666667,-85.25
Fort Lauderdale,FL,184255,United States,26.133333333333333,-80.15
Newport News,VA,183118,United States,37.083333333333336,-76.51666666666667
Mobile,AL,182595,United States,30.666666666666668,-88.1
Ontario,CA,182457,United States,34.03333333333333,-117.6
Clarksville,TN,180716,United States,36.56666666666667,-87.35
Cary,NC,180010,United States,35.78333333333333,-78.81666666666666
Elk Grove,CA,178444,United States,38.416666666666664,-121.38333333333334
Shreveport,LA,177959,United States,32.46666666666667,-93.78333333333333
Eugene,OR,177899,United States,44.06666666666667,-123.11666666666666
Aurora,IL,177563,United States,41.766666666666666,-88.28333333333333
Salem,OR,177432,United States,44.916666666666664,-123.01666666666667
Santa Rosa,CA,175845,United States,38.45,-122.71666666666667
Rancho Cucamonga,CA,174405,United States,34.11666666666667,-117.56666666666666
Pembroke Pines,FL,171119,United States,26.016666666666666,-80.33333333333333
Fort Collins,CO,170376,United States,40.55,-105.06666666666666
Springfield,MO,170188,United States,37.18333333333333,-93.28333333333333
Oceanside,CA,170020,United States,33.21666666666667,-117.31666666666666
Garden Grove,CA,168234,United States,33.78333333333333,-117.96666666666667
Lancaster,CA,166236,United States,34.68333333333333,-118.18333333333334
Murfreesboro,TN,165430,United States,35.85,-86.41666666666667
Palmdale,CA,161404,United States,34.583333333333336,-118.11666666666666
Corona,CA,160238,United States,33.86666666666667,-117.56666666666666
Killeen,TX,159643,United States,31.083333333333332,-97.73333333333333
Salinas,CA,159506,United States,36.68333333333333,-121.63333333333334
Roseville,CA,159135,United States,38.766666666666666,-121.31666666666666
Denton,TX,158349,United States,33.21666666666667,-97.13333333333334
Surprise,AZ,158285,United States,33.666666666666664,-112.45
Macon,GA,156512,United States,32.81666666666667,-83.68333333333334
Paterson,NJ,156452,United States,40.916666666666664,-74.16666666666667
Lakewood,CO,155961,United States,39.7,-105.11666666666666
Hayward,CA,155675,United States,37.63333333333333,-122.1
Charleston,SC,155369,United States,32.833333333333336,-79.96666666666667
Alexandria,VA,155230,United States,38.81666666666667,-77.08333333333333
Hollywood,FL,153859,United States,26.033333333333335,-80.16666666666667
Springfield,MA,153672,United States,42.11666666666667,-72.53333333333333
Kansas City,KS,152933,United States,39.11666666666667,-94.73333333333333
Sunnyvale,CA,151967,United States,37.38333333333333,-122.03333333333333
Bellevue,WA,151574,United States,47.6,-122.16666666666667
Joliet,IL,150489,United States,41.516666666666666,-88.15
Naperville,IL,150245,United States,41.75,-88.16666666666667
Escondido,CA,148122,United States,33.13333333333333,-117.06666666666666
Bridgeport,CT,148028,United States,41.18333333333333,-73.2
Savannah,GA,147748,United States,32.0,-81.15
Olathe,KS,147461,United States,38.88333333333333,-94.81666666666666
Mesquite,TX,147317,United States,32.766666666666666,-96.58333333333333
Pasadena,TX,146716,United States,29.65,-95.15
McAllen,TX,146593,United States,26.216666666666665,-98.25
Rockford,IL,146120,United States,42.266666666666666,-89.06666666666666
Gainesville,FL,145812,United States,29.683333333333334,-82.35
Syracuse,NY,145560,United States,43.03333333333333,-76.13333333333334
Pomona,CA,145502,United States,34.06666666666667,-117.76666666666667
Visalia,CA,144998,United States,36.333333333333336,-119.33333333333333
Thornton,CO,144922,United States,39.916666666666664,-104.93333333333334
Waco,TX,144816,United States,31.566666666666666,-97.18333333333334
Jackson,MS,143709,United States,32.31666666666667,-90.21666666666667
Columbia,SC,142416,United States,34.03333333333333,-80.91666666666667
Lakewood,NJ,139866,United States,40.083333333333336,-74.2
Fullerton,CA,139250,United States,33.88333333333333,-117.93333333333334
Torrance,CA,139224,United States,33.833333333333336,-118.36666666666666
Victorville,CA,138869,United States,34.53333333333333,-117.35
Midland,TX,138397,United States,32.016666666666666,-102.11666666666666
Orange,CA,138337,United States,33.78333333333333,-117.86666666666666
Miramar,FL,138319,United States,25.966666666666665,-80.33333333333333
Hampton,VA,137098,United States,37.05,-76.3
Warren,MI,136655,United States,42.483333333333334,-83.03333333333333
Stamford,CT,136226,United States,41.083333333333336,-73.55
Cedar Rapids,IA,135958,United States,41.96666666666667,-91.68333333333334
Elizabeth,NJ,135829,United States,40.666666666666664,-74.18333333333334
Palm Bay,FL,135566,United States,27.966666666666665,-80.66666666666667
Dayton,OH,135512,United States,39.78333333333333,-84.2
New Haven,CT,135319,United States,41.31666666666667,-72.91666666666667
Coral Springs,FL,134906,United States,26.266666666666666,-80.26666666666667
Meridian,ID,134801,United States,43.61666666666667,-116.4
West Valley City,UT,134470,United States,40.68333333333333,-112.01666666666667
Pasadena,CA,133560,United States,34.166666666666664,-118.13333333333334
Lewisville,TX,133553,United States,33.05,-96.98333333333333
Kent,WA,133378,United States,47.38333333333333,-122.21666666666667
Sterling Heights,MI,133306,United States,42.583333333333336,-83.03333333333333
Fargo,ND,133188,United States,46.86666666666667,-96.83333333333333
Carrollton,TX,132918,United States,32.983333333333334,-96.9
Santa Clara,CA,131062,United States,37.36666666666667,-121.96666666666667
Round Rock,TX,130406,United States,30.533333333333335,-97.66666666666667
Norman,OK,130046,United States,35.233333333333334,-97.35
Columbia,MO,129330,United States,38.95,-92.33333333333333
Abilene,TX,129043,United States,32.45,-99.73333333333333
Athens,GA,128628,United States,33.95,-83.36666666666666
Pearland,TX,127736,United States,29.566666666666666,-95.31666666666666
Clovis,CA,125826,United States,36.833333333333336,-119.68333333333334
Topeka,KS,125475,United States,39.03333333333333,-95.68333333333334
College Station,TX,125192,United States,30.583333333333332,-96.3
Simi Valley,CA,125113,United States,34.266666666666666,-118.75
Allentown,PA,124880,United States,40.583333333333336,-75.48333333333333
West Palm Beach,FL,124130,United States,26.75,-80.13333333333334
Thousand Oaks,CA,123463,United States,34.18333333333333,-118.86666666666666
Vallejo,CA,122807,United States,38.11666666666667,-122.26666666666667
Wilmington,NC,122698,United States,34.21666666666667,-77.88333333333334
Rochester,MN,122413,United States,44.016666666666666,-92.48333333333333
Concord,CA,122315,United States,37.96666666666667,-122.0
